provincia,,,,,,,
44162,,,,,,,
,,,,ACUMULADOS,RECUPERADOS,FALLECIDOS,ACTIVOS
Provincia,,Cantón,Distrito,Casos*,Casos*,Casos*,Casos*
,,,,,,,
,,,San Mateo,42,31,1,10
,,,Sin información de distrito,1,1,0,0
,,San Ramón,,1685,956,14,715
,,,Alfaro,104,55,4,45
,,,Ángeles,86,42,1,43
,,,Concepción,42,24,0,18
,,,Peñas Blancas,259,159,3,97
,,,Piedades Norte,123,72,1,50
,,,Piedades Sur,54,30,1,23
,,,San Isidro,84,54,0,30
,,,San Juan,266,153,1,112
,,,San Lorenzo,4,2,0,2
,,,San Rafael,133,79,0,54
,,,San Ramón,377,195,2,180
,,,Santiago,104,64,1,39
,,,Volio,41,19,0,22
,,,Zapotal,0,0,0,0
,,,Sin información de distrito,8,8,0,0
,,Sarchí,,334,246,2,86
,,,Rodríguez,26,17,0,9
,,,San Pedro,31,21,0,10
,,,Sarchí Norte,173,135,0,38
,,,Sarchí Sur,99,69,2,28
,,,Toro Amarillo,5,4,0,1
,,,Sin información de distrito,0,0,0,0
,,Upala,,596,393,7,196
,,,Aguas Claras,26,18,0,8
,,,Bijagua,39,23,0,16
,,,Canalete,34,20,0,14
,,,Delicias,83,67,0,16
,,,Dos Ríos,6,2,0,4
,,,San José O Pizote,111,80,1,30
,,,Upala,258,165,6,87
,,,Yolillal,38,17,0,21
,,,Sin información de distrito,1,1,0,0
,,Zarcero,,452,121,3,328
,,,Brisas,38,24,0,14
,,,Guadalupe,12,2,0,10
,,,Laguna,58,15,0,43
,,,Palmira,67,6,0,61
,,,Tapesco,73,27,2,44
,,,Zapote,17,5,0,12
,,,Zarcero,186,41,1,144
,,,Sin información de distrito,1,1,0,0
,,Sin información de Cantón,,0,0,0,0
Cartago,,,,9768,6114,106,3548
,,Alvarado,,178,118,2,58
,,,Capellades,24,19,0,5
,,,Cervantes,65,51,1,13
,,,Pacayas,89,48,1,40
,,,Sin información de distrito,0,0,0,0
,,Cartago,,2953,1592,30,1331
,,,Aguacaliente o San Francisco,594,338,2,254
,,,Carmen,358,236,3,119
,,,Corralillo,136,89,0,47
,,,Dulce Nombre,202,104,2,96
,,,Guadalupe o Arenilla,260,81,4,175
,,,Llano Grande,126,72,2,52
,,,Occidental,178,99,4,75
,,,Oriental,311,172,7,132
,,,Quebradilla,143,37,0,106
,,,San Nicolás,495,305,3,187
,,,Tierra Blanca,134,43,3,88
,,,Sin información de distrito,16,16,0,0
,,El Guarco,,840,343,9,488
,,,El Tejar,562,226,5,331
,,,Patio de Agua,2,0,0,2
,,,San Isidro,149,63,3,83
,,,Tobosi,124,51,1,72
,,,Sin información de distrito,3,3,0,0
,,Jiménez,,133,124,1,8
,,,Juan Viñas,47,43,0,4
,,,Pejibaye,50,47,1,2
,,,Tucurrique,36,34,0,2
,,,Sin información de distrito,0,0,0,0
,,La Unión,,3187,2156,39,992
,,,Concepción,471,364,3,104
,,,Dulce Nombre,392,240,9,143
,,,Río Azul,420,197,5,218
,,,San Diego,643,488,8,147
,,,San Juan,271,172,4,95
,,,San Rafael,437,296,2,139
,,,San Ramón,93,67,0,26
,,,Tres Ríos,452,327,8,117
,,,Sin información de distrito,8,5,0,3
,,Oreamuno,,1205,866,9,330
,,,Cipreses,88,58,0,30
,,,Cot,370,284,2,84
,,,Potrero Cerrado,64,54,1,9
,,,San Rafael,611,421,5,185
,,,Santa Rosa,70,47,1,22
,,,Sin información de distrito,2,2,0,0
,,Paraíso,,680,550,10,120
,,,Cachí,84,68,1,15
,,,Llanos de Santa Lucía,210,183,3,24
,,,Orosi,76,58,3,15
,,,Paraíso,263,204,1,58
,,,Santiago,46,36,2,8
,,,Sin información de distrito,1,1,0,0
,,Turrialba,,592,365,6,221
,,,Chirripó,127,10,0,117
,,,La Isabel,40,34,0,6
,,,La Suiza,60,50,1,9
,,,Pavones,25,16,0,9
,,,Peralta,2,2,0,0
,,,Santa Cruz,15,10,1,4
,,,Santa Rosa,36,26,0,10
,,,Santa Teresita,30,21,0,9
,,,Tayutic,14,10,0,4
,,,Tres Equis,12,3,0,9
,,,Tuis,17,15,1,1
,,,Turrialba,212,166,3,43
,,,Sin información de distrito,2,2,0,0
,,Sin información de Cantón,,0,0,0,0
Heredia,,,,15513,9766,181,5566
,,Barva,,1247,968,11,268
,,,Barva,236,177,3,56
,,,San José de la Montaña,151,112,0,39
,,,San Pablo,224,168,1,55
,,,San Pedro,309,252,2,55
,,,San Roque,132,105,1,26
,,,Santa Lucía,190,149,4,37
,,,Sin información de distrito,5,5,0,0
,,Belén,,805,556,5,244
,,,La Asunción,149,92,1,56
,,,La Ribera,302,217,1,84
,,,San Antonio,350,243,3,104
,,,Sin información de distrito,4,4,0,0
,,Flores,,801,531,6,264
,,,Barrantes,160,105,1,54
,,,Llorente,341,231,1,109
,,,San Joaquín,298,194,4,100
,,,Sin información de distrito,2,1,0,1
,,Heredia,,5327,2788,76,2463
,,,Heredia,835,417,15,403
,,,Mercedes,839,417,11,411
,,,San Francisco,2661,1488,32,1141
,,,Ulloa,979,456,18,505
,,,Varablanca,2,1,0,1
,,,Sin información de distrito,11,9,0,2
,,San Isidro,,776,517,15,244
,,,Concepción,88,68,2,18
,,,San Francisco,165,113,2,50
,,,San Isidro,322,228,5,89
,,,San José,200,107,6,87
,,,Sin información de distrito,1,1,0,0
,,San Pablo,,950,688,15,247
,,,Rincón de Sabanilla,204,149,2,53
,,,San Pablo,745,538,13,194
,,,Sin información de distrito,1,1,0,0
,,San Rafael,,1503,1132,17,354
,,,Ángeles,266,211,2,53
,,,Concepción,114,87,0,27
,,,San Josecito,456,341,2,113
,,,San Rafael,410,308,9,93
,,,Santiago,246,176,4,66
,,,Sin información de distrito,11,9,0,2
,,Santa Bárbara,,1006,618,10,378
,,,Jesús,216,145,2,69
,,,Purabá,87,45,0,42
,,,San Juan,233,147,4,82
,,,San Pedro,115,62,0,53
,,,Santa Bárbara,291,190,3,98
,,,Santo Domingo,63,28,1,34
,,,Sin información de distrito,1,1,0,0
,,Santo Domingo,,1557,1002,18,537
,,,Pará,184,120,2,62
,,,Paracito,65,32,0,33
,,,San Miguel,168,78,3,87
,,,San Vicente,246,168,5,73
,,,Santa Rosa,357,238,3,116
,,,Santo Domingo,246,152,4,90
,,,Santo Tomás,133,89,1,43
,,,Tures,158,125,0,33
,,,Sin información de distrito,0,0,0,0
,,Sarapiquí,,1541,966,8,567
,,,Cureña,5,3,0,2
,,,La Virgen,232,142,4,86
,,,Las Horquetas,543,364,2,177
,,,Llanuras del Gaspar,6,4,0,2
,,,Puerto Viejo,753,451,2,300
,,,Sin información de distrito,2,2,0,0
,,Sin información de Cantón,,0,0,0,0
Guanacaste,,,,6599,3756,62,2781
,,Abangares,,354,246,0,108
,,,Colorado,85,45,0,40
,,,Las Juntas,204,149,0,55
,,,San Juan,29,19,0,10
,,,Sierra,36,33,0,3
,,,Sin información de distrito,0,0,0,0
,,Bagaces,,287,206,2,79
,,,Bagaces,184,139,2,43
,,,La Fortuna,35,27,0,8
,,,Mogote,49,25,0,24
,,,Río Naranjo,17,13,0,4
,,,Sin información de distrito,2,2,0,0
,,Cañas,,656,477,8,171
,,,Bebedero,33,23,1,9
,,,Cañas,577,418,7,152
,,,Palmira,11,9,0,2
,,,Porozal,5,3,0,2
,,,San Miguel,27,21,0,6
,,,Sin información de distrito,3,3,0,0
,,Carrillo,,539,323,6,210
,,,Belén,97,68,1,28
,,,Filadelfia,132,69,3,60
,,,Palmira,74,45,1,28
,,,Sardinal,228,133,1,94
,,,Sin información de distrito,8,8,0,0
,,Hojancha,,129,110,1,18
,,,Hojancha,104,92,1,11
,,,Huacas,2,1,0,1
,,,Matambú,13,12,0,1
,,,Monte Romo,6,1,0,5
,,,Puerto Carrillo,4,4,0,0
,,,Sin información de distrito,0,0,0,0
,,La Cruz,,453,341,4,108
,,,La Cruz,358,265,4,89
,,,La Garita,28,22,0,6
,,,Santa Cecilia,55,45,0,10
,,,Santa Elena,10,7,0,3
,,,Sin información de distrito,2,2,0,0
,,Liberia,,1669,557,8,1104
,,,Cañas Dulces,42,12,0,30
,,,Curubandé,40,9,0,31
,,,Liberia,1534,518,8,1008
,,,Mayorga,20,6,0,14
,,,Nacascolo,30,9,0,21
,,,Sin información de distrito,3,3,0,0
,,Nandayure,,149,108,5,36
,,,Bejuco,21,14,0,7
,,,Carmona,46,33,2,11
,,,Porvenir,9,5,2,2
,,,San Pablo,22,18,0,4
,,,Santa Rita,43,32,0,11
,,,Zapotal,8,6,1,1
,,,Sin información de distrito,0,0,0,0
,,Nicoya,,1106,820,19,267
,,,Belén de Nosarita,22,19,0,3
,,,Mansión,80,60,3,17
,,,Nicoya,684,501,11,172
,,,Nosara,131,97,2,32
,,,Quebrada Honda,38,29,0,9
,,,Sámara,43,38,0,5
,,,San Antonio,104,72,3,29
,,,Sin información de distrito,4,4,0,0
,,Santa Cruz,,1039,417,6,616
,,,Bolsón,23,7,1,15
,,,Cabo Velas,66,18,1,47
,,,Cartagena,86,21,0,65
,,,Cuajiniquil,23,19,1,3
,,,Diriá,57,19,0,38
,,,Santa Cruz,446,186,2,258
,,,Tamarindo,89,23,0,66
,,,Tempate,188,87,0,101
,,,Veintisiete de Abril,54,30,1,23
,,,Sin información de distrito,7,7,0,0
